Название университета,Страна,Город,Минимальный GPA,Минимальный IELTS,Минимальный SAT,Минимальный AP,Минимальный бюджет ($),Направление,Климат,Уровень проектов,Гранты,Стоимость проживания,Краткое описание
Университет Назарбаева,Казахстан,Астана,3.32,7.0,1100,2,25000,Бизнес,Тёплый,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.91,7.0,1200,4,25000,Инженерия,Умеренный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.01,6.0,1300,4,5000,Математика,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.33,7.0,1300,1,25000,Физика,Умеренный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.81,5.5,1300,1,15000,Физика,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.26,6.0,1000,1,10000,Инженерия,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.31,6.0,1400,5,15000,Инженерия,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.26,6.5,1000,1,25000,Физика,Тёплый,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.75,5.5,1500,1,25000,Инженерия,Тёплый,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.06,5.5,1500,1,10000,Бизнес,Холодный,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.39,6.5,1000,2,10000,Медицина,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.61,7.0,1400,5,10000,IT,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.79,5.5,1100,3,15000,Инженерия,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.8,6.0,1500,1,15000,Математика,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.57,7.0,1200,5,10000,Медицина,Тёплый,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.63,6.5,1100,5,5000,Медицина,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.84,7.0,1000,3,25000,Физика,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.64,5.5,1200,4,15000,Медицина,Умеренный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.98,6.5,1100,2,30000,Бизнес,Умеренный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.46,6.5,1400,3,30000,IT,Холодный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.75,6.0,1200,5,15000,Бизнес,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.79,7.0,1000,2,5000,IT,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.03,6.5,1200,1,30000,Физика,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.72,7.0,1100,2,5000,Физика,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.88,7.0,1300,4,5000,Инженерия,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.04,6.5,1300,4,5000,Медицина,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.18,7.0,1500,2,20000,IT,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.84,5.5,1000,3,30000,Бизнес,Холодный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.68,7.0,1100,3,25000,Математика,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.65,5.5,1100,4,15000,Медицина,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.04,6.0,1500,4,10000,Медицина,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.12,6.5,1300,5,20000,Математика,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.19,5.5,1000,2,20000,Математика,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.35,7.0,1300,3,5000,Бизнес,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.83,6.5,1000,1,15000,IT,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.26,5.5,1000,1,10000,Медицина,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.06,6.5,1000,2,5000,IT,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.4,5.5,1100,1,15000,IT,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.32,7.0,1300,4,10000,Физика,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.79,6.0,1000,5,25000,Медицина,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.28,7.0,1100,5,10000,Физика,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.69,5.5,1000,4,20000,Медицина,Тёплый,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.53,6.0,1300,1,5000,Инженерия,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.73,6.0,1500,3,25000,IT,Тёплый,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.19,6.0,1400,3,30000,IT,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.26,6.5,1500,4,25000,Физика,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.47,6.5,1000,2,5000,Физика,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.52,6.0,1000,2,10000,Медицина,Холодный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.52,5.5,1500,1,10000,Инженерия,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.08,5.5,1400,5,10000,Физика,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.45,7.0,1200,3,15000,Медицина,Умеренный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.55,6.0,1100,4,20000,IT,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.78,6.5,1400,2,20000,Физика,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.76,7.0,1500,4,5000,Медицина,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.97,6.5,1300,3,5000,Математика,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.43,5.5,1500,1,5000,Физика,Холодный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.78,5.5,1500,2,30000,IT,Тёплый,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.82,7.0,1300,2,10000,Медицина,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.84,6.0,1400,2,10000,Бизнес,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.3,7.0,1200,4,10000,Физика,Холодный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.85,7.0,1000,5,5000,Математика,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.73,6.0,1400,3,25000,Бизнес,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.92,5.5,1300,3,20000,Инженерия,Холодный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.73,6.5,1000,2,15000,Бизнес,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.72,7.0,1500,3,20000,Бизнес,Умеренный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.22,5.5,1500,4,5000,Медицина,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.46,6.0,1000,1,15000,Инженерия,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.38,6.5,1200,2,25000,Физика,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.76,5.5,1500,4,10000,IT,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.24,7.0,1300,1,5000,Инженерия,Тёплый,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.83,6.0,1100,5,30000,Математика,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.63,7.0,1300,1,15000,Бизнес,Тёплый,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.61,7.0,1100,5,20000,Медицина,Умеренный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.99,7.0,1300,3,20000,Бизнес,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.56,5.5,1300,4,25000,Физика,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.83,6.0,1400,4,20000,Физика,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.58,7.0,1100,5,20000,Инженерия,Холодный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.75,6.0,1400,5,15000,IT,Тёплый,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.74,7.0,1200,2,25000,Бизнес,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.95,6.0,1500,4,5000,Физика,Тёплый,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.15,6.0,1300,3,15000,IT,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.68,6.0,1000,1,5000,IT,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.94,5.5,1100,2,25000,Медицина,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.24,6.0,1000,5,5000,Физика,Тёплый,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.11,7.0,1000,3,30000,IT,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.71,7.0,1400,4,5000,Инженерия,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.76,6.0,1500,1,10000,IT,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.99,7.0,1000,4,25000,Инженерия,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.54,6.0,1300,3,20000,Физика,Тёплый,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.89,6.5,1400,3,25000,Бизнес,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.33,6.0,1100,4,15000,Бизнес,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.47,6.0,1400,1,10000,IT,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.32,6.0,1400,5,20000,Медицина,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.34,6.0,1500,5,30000,IT,Тёплый,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.22,7.0,1500,5,30000,Физика,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.09,6.0,1300,5,5000,Математика,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.62,5.5,1500,3,25000,Инженерия,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.78,6.0,1000,4,5000,Инженерия,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.69,6.0,1000,4,30000,Медицина,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.33,5.5,1000,5,10000,Математика,Тёплый,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.32,7.0,1200,2,30000,Физика,Холодный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.97,7.0,1100,2,20000,Математика,Холодный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.6,6.0,1200,2,10000,Медицина,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.62,6.5,1400,5,25000,IT,Умеренный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.65,5.5,1300,1,20000,Медицина,Умеренный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.41,5.5,1200,5,15000,IT,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.76,6.0,1000,2,20000,IT,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.53,5.5,1100,5,15000,Бизнес,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.6,6.0,1300,2,10000,Физика,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.63,5.5,1000,1,30000,Математика,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.7,7.0,1500,1,15000,Математика,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.33,7.0,1100,3,5000,Медицина,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.96,6.0,1500,2,25000,Бизнес,Тёплый,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.89,6.0,1100,3,30000,Бизнес,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.4,5.5,1300,3,20000,Бизнес,Холодный,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.24,5.5,1100,4,5000,Физика,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.85,5.5,1000,2,25000,Физика,Тёплый,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.66,6.5,1500,5,30000,Бизнес,Тёплый,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.76,5.5,1200,1,5000,Физика,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.49,6.5,1400,3,10000,Физика,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.77,6.5,1300,3,30000,Инженерия,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.98,7.0,1000,2,5000,IT,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.05,6.5,1000,5,25000,Инженерия,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.05,6.0,1100,5,20000,Бизнес,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.38,6.0,1400,3,30000,IT,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.66,6.0,1500,5,30000,Инженерия,Умеренный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.6,7.0,1000,2,5000,IT,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.62,6.5,1000,5,10000,Математика,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.38,6.0,1100,4,20000,Медицина,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.98,7.0,1200,1,20000,Математика,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.7,7.0,1200,4,10000,Бизнес,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.36,6.0,1200,1,10000,Бизнес,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.51,6.5,1200,3,25000,IT,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.72,6.5,1200,5,5000,Физика,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.95,7.0,1000,4,20000,IT,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.39,7.0,1100,4,20000,Медицина,Умеренный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.26,7.0,1200,5,15000,Бизнес,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.81,5.5,1400,2,15000,Математика,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.38,5.5,1300,1,20000,IT,Тёплый,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.72,5.5,1300,2,30000,Медицина,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.95,5.5,1300,5,5000,IT,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.24,6.5,1400,3,30000,Инженерия,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.73,7.0,1100,5,25000,Физика,Умеренный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.93,6.5,1500,1,10000,Инженерия,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
